sleep_inflicted_delta,frz_inflicted_delta,par_inflicted_delta,blended_faints_before_first_ko,p2_strategic_switches,delta_missed_moves,player_won,lead_spd_delta,first_sleep,p1_avg_remaining_health,p2_avg_remaining_health,p1_tauros_hp_pct,p1_chansey_hp_pct
1,0,-2,3,9,-4,1,5,25,0.45851114272166904,0.7523084342396523,1.0,0.7510668563300142
-4,6,-7,1,8,-1,1,-25,2,0.7566666666666667,0.6416666666666666,1.0,1.0
4,0,5,5,11,-2,1,5,6,0.16666666666666666,0.40499999999999997,1.0,0.0
6,0,-6,1,7,2,1,65,1,0.6816666666666666,0.5716666666666667,1.0,0.45
0,0,-1,1,14,3,1,0,0,0.731869461631914,0.40644478176563487,0.0,0.7211948790896159
-1,0,23,1,3,-4,1,65,-2,0.8183333333333334,0.7333333333333334,1.0,1.0
4,4,-1,2,6,3,1,20,-4,0.5016666666666666,0.4916666666666667,0.0,0.57
0,-2,4,0,7,-7,1,0,0,0.17833333333333334,0.64,1.0,0.0
-3,0,5,3,6,-7,1,65,-1,0.375,0.6699999999999999,0.0,0.25
4,0,2,1,14,5,1,-20,3,0.4140242389591971,0.5342125936614209,1.0,0.7581792318634424
-1,0,11,0,7,2,1,5,-10,0.24166666666666667,0.06,0.45,1.0
0,0,13,0,14,1,1,25,0,0.7433333333333332,0.6716666666666667,1.0,0.0
0,1,-12,4,5,-2,1,55,1,0.3333333333333333,0.5058631643199071,1.0,0.0
2,0,3,2,8,-5,1,-25,1,0.6666666666666666,0.4766666666666666,1.0,1.0
0,5,-4,0,10,6,1,-30,0,0.8233333333333333,0.5666666666666668,0.0,0.79
7,2,-6,2,13,-1,1,0,-1,0.5768100293107841,0.4271966489840695,1.0,0.8165007112375533
0,0,9,0,11,0,1,-65,1,0.785,0.5866666666666667,0.5,0.67
-1,4,0,1,9,-3,1,-25,1,0.6966666666666667,0.425,1.0,0.9
-3,0,5,2,13,1,1,5,-2,0.5857389897637576,0.7599725355355077,1.0,0.8890469416785206
0,2,2,1,7,-11,1,15,0,0.66,0.34833333333333333,0.16,0.8
2,0,18,1,8,-1,1,0,8,0.6066666666666667,0.5666666666666667,0.0,0.58
-1,0,6,0,10,-2,1,20,-2,0.6932301452875685,0.45476419605301244,1.0,0.6073968705547653
-1,6,10,1,10,-2,1,0,-20,0.8333333333333334,0.4848096507161097,1.0,1.0
0,0,-7,0,7,-2,1,-25,2,0.7000000000000001,0.5366666666666667,1.0,1.0
0,0,-7,0,5,-1,1,20,0,0.25333333333333335,0.5299999999999999,0.0,0.41
5,2,-11,2,11,1,1,85,-13,0.6495969653864391,0.5282316798438804,1.0,0.8975817923186344
1,4,11,0,14,4,1,0,2,0.9066666666666667,0.6383333333333333,1.0,0.89
-1,4,-6,3,12,-2,1,-55,1,0.33,0.4916666666666667,1.0,0.65
-1,0,6,2,11,-4,1,-60,-2,0.6366666666666666,0.5133333333333333,1.0,0.82
9,4,-9,1,9,-2,1,5,4,0.6183333333333333,0.6516666666666667,1.0,0.48
0,0,5,0,5,1,1,-25,1,0.5738899813570236,0.5165334678373469,1.0,0.2019914651493599
0,0,0,2,8,-1,1,0,0,0.4533333333333333,0.7916666666666666,0.0,0.76
-2,0,0,0,12,-1,1,10,-2,1.0,0.6999999999999998,0.0,1.0
3,5,-7,0,14,0,1,-15,18,0.6633333333333333,0.6233333333333334,0.0,0.88
1,1,-5,0,9,-2,1,25,6,0.6056060055843928,0.5235990730878065,0.0,0.8150782361308677
4,0,-4,0,12,-2,1,5,5,0.585,0.57,1.0,0.32
6,0,0,3,10,-3,1,-25,1,0.3333333333333333,0.38999999999999996,0.0,1.0
0,6,-4,1,8,-3,1,0,-1,0.6666666666666666,0.56,1.0,1.0
1,0,-2,1,6,5,1,0,3,0.8333333333333334,0.68,1.0,0.0
5,0,2,0,8,2,1,-5,10,0.6691952473696601,0.5626867086172873,1.0,0.0
5,-2,-6,1,13,-2,1,65,4,0.75,0.45,1.0,0.91
1,-1,16,3,8,-3,1,-15,5,0.2383333333333333,0.535,0.4,0.79
3,3,-2,0,10,-2,1,0,2,0.9124888247025652,0.6539548381307448,1.0,0.8108108108108109
0,0,7,2,15,2,1,-25,0,0.6344359626802375,0.4563483027741943,1.0,1.0
4,0,-1,0,15,-1,1,55,1,0.6283333333333334,0.525,0.09,0.0
6,0,10,0,7,1,1,40,2,0.7883333333333334,0.8216666666666667,1.0,0.79
-1,2,-1,0,4,0,1,0,-19,0.775,0.46166666666666667,1.0,0.65
5,0,13,1,4,2,1,-20,1,0.6716666666666665,0.575,1.0,0.03
0,0,-2,2,4,-5,1,0,0,0.5766666666666667,0.5716666666666667,0.46,0.0
-7,0,0,2,9,-3,1,5,-2,0.5750000000000001,0.5399999999999999,1.0,0.7
1,0,-1,3,9,0,1,0,12,0.36000000000000004,0.365,0.0,0.0
8,0,-19,0,7,-2,1,15,3,0.5634674922600619,0.6840013388001004,1.0,1.0
-4,0,4,1,9,-1,1,80,5,0.6483333333333333,0.6449999999999999,0.0,0.6
1,0,5,2,6,-4,1,70,14,0.5680679101914355,0.5303526554318089,1.0,1.0
-9,0,7,3,7,-5,1,0,-3,0.47333333333333333,0.6933333333333334,0.0,0.84
-5,-1,12,0,14,2,1,-15,-1,0.6916666666666668,0.8616666666666667,0.0,0.74
-5,0,7,3,12,1,1,5,-6,0.2783333333333333,0.45500000000000007,0.0,0.0
0,0,0,2,5,2,1,-10,11,0.5466497031382528,0.5111889584655852,0.0,0.0
6,0,-2,1,9,7,1,5,-2,0.8333333333333334,0.49979991812329155,1.0,1.0
10,0,-11,0,8,0,1,-5,4,0.7542276039221923,0.6176652158945318,0.0,0.4694167852062589
0,0,-1,1,6,-2,1,0,0,0.6166666666666667,0.5483333333333333,0.0,0.0
2,1,12,1,7,0,1,25,-2,0.8152815200104048,0.5930975519218059,1.0,0.9672830725462305
0,0,-4,0,10,6,1,0,0,0.7919702513382328,0.6806710773621507,0.0,1.0
2,0,-5,2,8,0,1,25,-4,0.6366666666666666,0.5983333333333333,1.0,1.0
-3,0,-6,4,8,-5,1,-25,1,0.19338422391857504,0.7318603971445582,0.0,0.0
5,2,-3,1,6,1,1,90,7,0.6562427852784708,0.4671335300854175,1.0,0.7311522048364154
2,0,10,1,8,3,1,0,-1,0.46594427244582043,0.3480344196340941,0.0,1.0
1,3,-5,2,10,4,1,65,-1,0.6666666666666666,0.6900000000000001,1.0,0.0
-3,8,-2,3,9,2,1,-40,-1,0.5,0.51,1.0,1.0
0,2,-1,1,8,0,1,0,0,0.66,0.5516666666666666,0.32,1.0
5,4,11,0,10,0,1,55,3,0.8574875184782306,0.5744335911756325,1.0,0.8662873399715505
-4,0,2,5,7,-5,1,-25,1,0.16666666666666666,0.604498248771336,1.0,0.0
3,2,4,1,8,0,1,60,5,0.4383333333333333,0.4183333333333333,0.69,0.0
-4,0,19,0,13,2,1,25,-7,0.926517571884984,0.5901300183376501,1.0,1.0
0,0,-4,2,9,0,1,0,0,0.1046831955922865,0.4285820643367268,0.0,0.0
3,3,3,1,9,0,1,0,6,0.8056443024494143,0.735313348865752,0.0,1.0
2,3,-2,3,10,-3,1,-25,1,0.4560229445506692,0.6307674022981565,0.0,0.0
-4,-1,8,0,10,3,1,-20,2,0.5602872149512933,0.6642234842315196,1.0,0.0
9,5,-8,1,6,2,1,-25,15,0.6716666666666667,0.4166666666666667,1.0,1.0
-9,0,2,3,9,-4,1,-60,1,0.39666666666666667,0.7200000000000001,0.0,0.0
10,0,-8,1,14,-3,1,20,2,0.7333333333333334,0.6233333333333334,0.0,0.67
6,0,0,4,12,-1,1,0,6,0.3333333333333333,0.205,1.0,0.0
6,1,5,1,7,-3,1,-25,1,0.8116666666666666,0.5700000000000001,1.0,1.0
2,0,11,0,10,-2,1,-70,-2,0.5133333333333333,0.4316666666666667,0.0,0.0
3,0,11,3,6,2,1,5,2,0.47,0.5733333333333334,1.0,0.82
-5,0,7,4,12,2,1,0,-2,0.19814366424535915,0.6213938311788355,0.0,0.0
11,0,-9,0,11,3,1,45,1,0.8983333333333334,0.71,1.0,0.9
10,0,-12,0,12,1,1,0,-2,0.915,0.545,1.0,0.0
2,0,2,1,10,4,1,-5,8,0.615,0.47500000000000003,0.0,0.0
5,1,3,2,11,2,1,-5,4,0.6666666666666666,0.6933333333333334,1.0,1.0
5,0,8,3,8,1,1,0,2,0.44,0.33499999999999996,1.0,1.0
-1,5,9,0,7,1,1,-5,-5,0.8978860464166348,0.5856571182407017,0.7053824362606232,1.0
5,0,-6,0,11,0,1,-5,1,0.9316666666666666,0.7066666666666667,1.0,0.0
-3,0,-2,2,7,-7,1,-15,1,0.4533333333333333,0.5883333333333334,0.78,1.0
1,1,2,0,4,2,1,20,-1,0.8716666666666666,0.6833333333333332,1.0,0.63
4,0,4,1,8,-2,1,25,-2,0.545,0.5933333333333334,1.0,0.0
-8,0,8,1,14,1,1,20,-1,0.5716666666666667,0.7600000000000001,0.0,0.86
6,3,1,2,12,1,1,-20,1,0.585,0.4066666666666667,0.0,0.83
5,0,-6,3,14,-1,1,10,2,0.4573251727578222,0.8442741454335905,1.0,0.8577524893314367
0,0,7,4,8,2,1,-10,-1,0.29333333333333333,0.4183333333333334,0.0,0.0
0,0,10,0,9,1,1,10,-3,0.8316666666666667,0.7466666666666667,0.57,0.88
8,0,-1,2,6,-2,1,0,11,0.5299999999999999,0.3933333333333333,0.0,1.0
4,1,11,1,10,7,1,-5,1,0.5983333333333333,0.4266666666666666,1.0,1.0
-3,0,15,0,11,-3,1,10,-1,0.4760898254057291,0.6208671333161504,0.0,0.0
5,0,-1,0,7,1,1,5,16,0.61,0.43333333333333335,1.0,0.72
2,0,2,2,5,4,1,55,-3,0.5254947666183779,0.54012221048549,0.6912181303116147,0.0
2,1,-7,0,9,0,1,-35,2,0.37333333333333335,0.39166666666666666,1.0,0.35
1,0,10,3,8,0,1,-5,25,0.49499999999999994,0.6216666666666667,1.0,0.0
3,3,3,1,10,-2,1,0,1,0.5299898495961172,0.44261999075830416,0.0,0.7354196301564723
1,-2,-2,4,7,-6,1,15,2,0.24333333333333332,0.5766666666666667,0.46,0.0
6,0,-4,3,11,3,1,-25,1,0.4566666666666667,0.26166666666666666,1.0,0.74
0,0,2,0,2,-1,1,0,0,0.5,0.37833333333333335,1.0,1.0
4,1,9,1,15,0,1,-20,1,0.715,0.44333333333333336,1.0,0.0
-10,0,7,0,7,0,1,45,-2,0.498256006303766,0.6815979307854448,1.0,0.0
6,0,4,0,6,-3,1,20,-2,0.7437911216317911,0.7103597626649961,0.29461756373937675,0.89900426742532
2,0,-12,3,5,-5,1,20,-2,0.5,0.71,0.0,0.0
3,1,9,1,8,0,1,25,-1,0.7169199201289853,0.6346597226935003,0.5552407932011332,1.0
3,-1,10,0,7,-2,1,90,8,0.7766666666666667,0.7683333333333332,1.0,0.52
2,0,-4,2,7,0,1,0,12,0.6083333333333333,0.7716666666666666,1.0,0.0
-1,0,5,2,10,-4,1,0,-2,0.4816666666666667,0.5833333333333334,0.69,0.87
-2,0,-3,3,6,-4,1,-70,-24,0.4216666666666667,0.7033333333333333,0.0,0.0
2,5,2,1,11,-4,1,5,5,0.8000000000000002,0.49,0.0,0.91
-2,7,0,2,10,4,1,-25,2,0.5336497971058878,0.42021487382288186,0.6883852691218131,1.0
8,0,-2,2,12,7,1,90,2,0.5666666666666667,0.36333333333333334,1.0,1.0
2,0,-1,2,10,-3,1,-10,6,0.43333333333333335,0.41500000000000004,0.23,0.0
0,0,10,3,10,3,1,5,0,0.24833333333333332,0.445,1.0,0.0
2,0,1,0,9,-1,1,-5,17,0.7949999999999999,0.6366666666666666,1.0,1.0
1,0,-14,2,8,-5,1,5,-1,0.4861759478640906,0.5174077350329556,0.7053824362606232,0.0
11,0,9,1,12,0,1,-40,1,0.6783333333333333,0.6583333333333334,0.17,0.9
-1,0,1,1,9,2,1,0,-15,0.5604623301323107,0.6553793129925976,1.0,0.0
0,0,8,0,6,0,1,25,-2,0.6028624110511931,0.32842588977650633,0.6827195467422096,0.0
-3,0,18,1,5,-1,1,20,-2,0.5666666666666667,0.7050000000000001,0.0,0.59
9,0,2,1,11,1,1,0,5,0.6083333333333334,0.4750000000000001,0.0,1.0
6,2,3,2,9,0,1,45,1,0.6266666666666666,0.49833333333333335,1.0,0.0
-4,4,0,0,12,-2,1,25,-2,0.8205695968957918,0.7024300899402464,1.0,1.0
3,0,6,3,10,-1,1,0,-4,0.25166666666666665,0.595,0.0,0.3
0,0,6,1,8,-5,1,-5,13,0.5033333333333333,0.5766666666666667,1.0,0.82
0,0,9,0,5,-2,1,25,-1,0.43106400611055923,0.5093545331186032,1.0,0.0
4,3,0,2,8,-1,1,0,5,0.5133333333333333,0.5483333333333333,1.0,0.68
7,1,-18,0,14,-2,1,45,3,0.775,0.7316666666666668,0.0,0.48
3,0,2,1,8,3,1,0,21,0.7583333333333333,0.5483333333333333,0.55,1.0
4,0,3,1,11,3,1,0,3,0.43,0.2733333333333334,0.0,0.58
-3,0,15,1,7,0,1,25,-1,0.4172931434855573,0.31270907606583714,0.71671388101983,0.89900426742532
3,2,-7,2,11,-1,1,-10,12,0.5299999999999999,0.5733333333333334,1.0,0.82
1,0,3,1,11,3,1,65,-1,0.765,0.5233333333333333,1.0,0.83
2,0,6,0,6,0,1,0,3,0.7842579421526791,0.439456371275418,1.0,0.705547652916074
11,0,-12,1,8,0,1,-20,3,0.8133333333333334,0.535,1.0,1.0
6,3,-2,2,12,-1,1,-25,1,0.5988425554274371,0.4252528441111374,0.0,0.0
-1,0,13,4,6,0,1,0,7,0.03,0.4716666666666666,0.0,0.0
5,4,-6,0,13,-1,1,40,1,0.52,0.37166666666666665,0.0,0.89
2,0,3,1,10,2,1,-15,-4,0.57,0.6849999999999999,1.0,0.69
7,0,4,3,9,2,1,65,2,0.5,0.21666666666666665,0.0,0.0
2,4,1,1,13,4,1,20,-4,0.6383333333333333,0.34166666666666673,1.0,0.64
0,0,-11,2,11,-3,1,-65,1,0.6016666666666667,0.7333333333333334,1.0,0.8
0,1,-6,1,10,-1,1,-25,1,0.665913789143251,0.685906747904323,0.7252124645892352,1.0
-3,0,4,2,8,2,1,-15,4,0.5,0.45999999999999996,0.0,0.69
1,0,2,0,8,1,1,-5,17,0.5516666666666666,0.4216666666666667,1.0,0.31
8,3,4,3,13,1,1,15,3,0.4265667896610632,0.3825133157754432,0.0,1.0
4,0,-10,1,11,0,1,0,2,0.697209126572897,0.7552296038942897,1.0,0.0
-3,5,9,0,12,5,1,65,-1,0.6066666666666667,0.43,0.0,1.0
6,-1,7,2,7,-3,1,15,1,0.6486486486486487,0.48616420541354793,0.0,0.8918918918918919
5,0,-3,0,12,-2,1,5,12,0.8716666666666667,0.6433333333333333,1.0,0.0
-3,0,4,0,13,1,1,-40,-1,0.8250000000000001,0.5133333333333333,1.0,0.68
0,6,10,0,7,3,1,-20,1,0.5160007965109282,0.3079446150612794,0.16997167138810199,0.0
1,0,7,0,8,2,1,45,1,0.6699999999999999,0.4283333333333334,1.0,0.88
4,1,-15,2,13,-1,1,-25,6,0.61,0.5583333333333333,0.72,0.94
-6,0,5,5,8,-6,1,25,-2,0.16666666666666666,0.4324338272684917,0.0,0.0
11,0,-9,0,10,2,1,-65,1,0.9383333333333334,0.6033333333333334,1.0,0.68
0,0,13,1,10,-1,1,10,0,0.6202069703737078,0.7300019230880666,1.0,0.883357041251778
0,3,-3,1,7,0,1,20,-2,0.3933333333333333,0.20833333333333334,0.0,0.41
4,0,1,3,12,0,1,5,10,0.5,0.4583333333333333,0.0,0.0
0,0,7,2,5,7,1,0,0,0.5,0.5716666666666667,1.0,1.0
1,2,-2,1,11,-1,1,-20,2,0.4713680607088111,0.4074684156742035,0.13031161473087818,0.0
3,0,-1,3,7,0,1,5,22,0.5,0.6774236598775579,1.0,1.0
2,0,3,1,11,3,1,0,2,0.7933333333333333,0.5733333333333334,1.0,1.0
3,0,-15,0,8,4,1,0,-2,0.785,0.6716666666666667,1.0,0.0
0,0,0,0,29,0,1,20,0,1.0,0.8108930132546459,1.0,0.0
-3,-2,9,2,13,-2,1,35,-5,0.655,0.665,1.0,0.0
1,0,-5,4,9,-1,1,5,18,0.30990415335463256,0.6172572366636313,0.0,1.0
9,0,-2,2,13,-3,1,-20,1,0.506785411365564,0.4973292749603903,0.0,1.0
0,6,1,1,9,8,1,0,0,0.6333333333333334,0.315,0.0,0.66
4,0,1,2,7,6,1,5,-7,0.5408578355402739,0.5175439648939998,0.5835694050991501,0.0
4,0,1,2,12,6,1,0,-2,0.4816666666666667,0.45,0.0,0.0
3,0,-3,3,9,2,1,0,3,0.18500000000000003,0.6116666666666667,0.11,0.0
6,2,-6,1,3,6,1,20,-8,0.4116666666666666,0.41333333333333333,0.16,1.0
3,0,-4,2,11,-3,1,75,3,0.38999999999999996,0.5283333333333333,0.67,0.0
-3,0,-6,1,3,-15,1,-5,12,0.5950000000000001,0.8383333333333333,0.54,1.0
-1,0,-3,2,11,-5,1,20,-2,0.5076335877862596,0.7798331518271054,1.0,0.0
4,1,2,0,10,4,1,-45,-1,0.9019399402331678,0.8786499088401071,1.0,0.7283072546230441
2,0,7,1,6,1,1,45,1,0.7683333333333332,0.58,1.0,0.61
4,0,11,2,7,2,1,-25,1,0.6666666666666666,0.681895252206758,1.0,0.0
2,4,-2,2,9,1,1,5,11,0.45166666666666666,0.5933333333333334,0.45,1.0
4,0,-1,0,7,-5,1,0,2,0.2133333333333333,0.325,0.35,0.0
2,-4,14,0,6,-2,1,5,-1,0.6766666666666667,0.8266666666666667,0.0,0.01
1,0,5,1,4,-1,1,15,1,0.5916666666666667,0.7266666666666666,0.0,0.0
-3,0,-8,4,5,-6,1,-5,-8,0.3016666666666667,0.445,0.0,0.0
1,-1,0,0,4,0,1,70,20,0.7351630742118292,0.6217015434996649,0.6940509915014165,0.716927453769559
4,0,2,0,11,-2,1,-15,-1,0.36833333333333335,0.4333333333333333,0.21,0.0
7,0,5,3,8,2,1,-20,4,0.4116666666666666,0.4883333333333333,1.0,1.0
3,0,15,1,11,6,1,-60,1,0.7116200169635284,0.4660258642308699,1.0,1.0
1,0,5,0,8,0,1,0,29,0.5,0.43166666666666664,1.0,0.0
2,0,-4,2,9,-3,1,-25,2,0.33499999999999996,0.54,1.0,0.59
-6,0,5,0,10,-4,1,10,-2,0.5832908038613142,0.6011671745437216,1.0,0.2759601706970128
4,2,-5,2,10,1,1,-20,1,0.3565873164054169,0.36628073648194803,0.49008498583569404,0.44523470839260315
0,0,2,0,7,10,1,-5,0,0.5416666666666666,0.505,0.23,0.0
0,0,4,4,5,-1,1,-20,1,0.22976418100701082,0.6054236285576394,1.0,0.0
3,0,3,0,7,3,1,-5,3,0.3715769593956562,0.2979575812994288,0.22946175637393768,0.0
-1,0,14,1,4,11,1,-10,-27,0.7033333333333335,0.6833333333333332,0.0,0.0
11,0,-2,2,10,0,1,0,-1,0.6059743954480797,0.5496742334492796,1.0,0.635846372688478
7,0,13,1,8,3,1,-10,3,0.6933333333333334,0.6466666666666666,0.0,0.88
4,0,0,0,9,5,1,-5,10,0.9165361544556353,0.9196523293768847,1.0,0.9914651493598862
2,4,1,1,7,4,1,-10,20,0.4183333333333333,0.42166666666666663,0.65,0.86
-3,0,-2,1,7,2,1,10,-15,0.5883333333333334,0.605,0.0,0.53
2,1,-1,0,8,1,1,-10,18,0.5501787444334653,0.5352991155709778,1.0,0.5860597439544808
7,0,9,0,14,0,1,5,9,0.9400000000000001,0.66,1.0,1.0
-3,0,9,1,6,3,1,-35,1,0.7999999999999999,0.6466666666666666,1.0,0.8
1,1,-10,1,7,-4,1,0,1,0.6385935154056672,0.8448355476219254,1.0,0.7980085348506402
1,1,1,1,11,0,1,0,1,0.4650000000000001,0.53,0.1,0.83
1,-3,0,0,6,0,1,65,-2,0.29333333333333333,0.52,0.12,0.26
1,1,3,0,9,-2,1,40,1,0.6616666666666666,0.5066666666666667,1.0,0.34
3,0,-23,1,0,3,1,-25,1,0.7799999999999999,1.0,1.0,1.0
-7,0,13,2,9,0,1,5,-5,0.5,0.6833333333333332,1.0,0.89
3,0,4,1,9,0,1,10,2,0.5322265222164724,0.7241989765431446,0.39943342776203966,0.6870554765291608
2,2,-4,2,13,-2,1,0,2,0.4281634672226416,0.6242970739841327,1.0,0.0
0,0,9,1,13,5,1,-20,3,0.698068592359404,0.5999695080377885,1.0,0.8492176386913229
6,0,1,2,16,3,1,-5,9,0.44166666666666665,0.6033333333333334,1.0,0.0
1,0,5,0,8,-5,1,10,-4,0.49833333333333335,0.3166666666666667,0.0,0.0
4,1,0,3,13,-3,1,40,1,0.40499999999999997,0.6116666666666667,0.43,0.0
5,0,0,0,15,3,1,5,-2,0.8478313588799727,0.5655500032030415,1.0,0.6671408250355618
-2,-2,19,0,7,3,1,5,-13,0.5133333333333333,0.41333333333333333,0.11,1.0
0,0,-9,0,5,-3,1,10,11,0.9583333333333334,0.9199999999999999,1.0,0.84
-6,0,-13,1,6,-3,1,-60,1,0.7316666666666668,0.9400000000000001,1.0,0.0
-1,0,13,1,6,3,1,-15,-18,0.5901150219354908,0.46437175274962367,1.0,0.3456614509246088
0,0,5,1,9,-4,1,20,0,0.3466666666666667,0.2916666666666667,0.0,0.0
5,0,15,0,4,8,1,60,-1,0.5650000000000001,0.4116666666666667,1.0,0.0
5,0,5,0,14,0,1,-15,3,0.695,0.8033333333333333,0.0,0.0
6,0,-1,2,6,2,1,-25,2,0.6083333333333333,0.4033333333333333,1.0,1.0
7,0,8,1,12,0,1,0,-1,0.6666666666666666,0.5286062281119778,1.0,0.0
0,0,6,0,7,-2,1,-10,0,0.8116666666666666,0.5733333333333334,1.0,0.58
0,0,4,1,11,1,1,40,1,0.8333333333333334,0.4866142628564159,1.0,1.0
2,0,-7,2,18,4,1,-5,6,0.45999999999999996,0.3383333333333333,0.65,0.65
0,0,8,1,6,2,1,-10,0,0.759318423855165,0.5470208011006142,0.0,0.0
7,-2,5,1,14,5,1,0,2,0.655,0.57,0.12,0.0
5,0,1,1,8,4,1,-15,1,0.640100158978692,0.3485051689611363,0.546742209631728,1.0
9,0,-5,2,4,4,1,-25,1,0.6016666666666667,0.6616666666666666,1.0,1.0
4,0,-5,2,14,0,1,5,6,0.5683333333333334,0.5683333333333334,1.0,0.0
4,0,-8,1,12,-5,1,-10,3,0.6283333333333333,0.5816666666666667,0.0,0.57
1,0,-10,5,5,-8,1,-20,14,0.16666666666666666,0.6217923929942041,1.0,0.0
5,1,3,3,7,-2,1,-5,2,0.3383333333333334,0.4000000000000001,0.0,0.6
-4,0,6,4,11,0,1,5,-2,0.3333333333333333,0.6967839668064827,1.0,1.0
0,-1,4,1,10,5,1,0,0,0.8166666666666668,0.635,0.0,0.9
-1,0,7,0,5,1,1,20,-1,0.8435545899954024,0.7381980227813557,1.0,1.0
-2,0,1,0,12,-1,1,-25,1,0.8466666666666667,0.5483333333333333,0.72,0.0
-4,1,-4,1,8,-5,1,0,1,0.8103887826641172,0.7643839874895525,1.0,1.0
-1,0,-11,0,6,-2,1,10,-3,0.42333333333333334,0.5833333333333334,1.0,0.0
0,5,5,0,12,8,1,20,-1,0.8716666666666667,0.4583333333333333,1.0,1.0
-4,0,-3,0,4,-3,1,20,-4,0.31538955121942175,0.32051515795520163,0.39660056657223797,0.0
-2,0,11,3,12,-1,1,0,-2,0.3633333333333333,0.53,0.69,0.0
3,0,14,1,11,3,1,-60,1,0.3333333333333333,0.34792767626748233,0.0,0.0
-3,0,7,3,9,-5,1,-55,-7,0.4716666666666667,0.2816666666666667,0.0,0.0
6,0,0,0,9,6,1,-20,2,0.7749965800458791,0.6237347978991189,0.7082152974504249,0.7994310099573257
3,0,2,2,9,0,1,5,-6,0.6666666666666666,0.4116666666666667,1.0,0.0
0,0,13,2,13,1,1,-5,0,0.59,0.7233333333333333,0.0,1.0
7,-3,0,0,12,0,1,0,2,0.8257579779457735,0.6182826617853133,1.0,0.465149359886202
5,0,3,0,6,-2,1,-10,2,0.5,0.6716666666666667,1.0,0.0
-5,0,13,2,12,0,1,20,-10,0.32666666666666666,0.6316666666666667,0.08,0.0
10,0,5,1,12,1,1,10,-3,0.7848870542368994,0.5069880364734115,1.0,0.0
0,0,-3,0,8,0,1,0,1,0.9066102431303197,0.5749521338192579,1.0,1.0
4,0,3,1,11,1,1,20,-1,0.805,0.6166666666666666,1.0,0.0
5,0,-7,0,10,0,1,-20,13,0.5266666666666666,0.7050000000000001,0.0,0.83
1,4,-4,3,11,-3,1,-20,1,0.3116666666666667,0.3516666666666666,0.45,0.0
1,0,15,2,14,0,1,25,-1,0.5383333333333333,0.5966666666666667,1.0,0.0
1,0,0,4,6,1,1,-40,-1,0.24666666666666667,0.7716666666666666,0.48,0.0
1,1,-5,3,6,0,1,5,-2,0.4033333333333333,0.555,0.72,1.0
10,0,-13,1,10,1,1,-5,2,0.665,0.6866666666666666,1.0,0.8
6,0,2,2,10,3,1,-60,2,0.5368645929748782,0.4032122841483596,0.37960339943342775,0.0
-1,0,14,0,15,4,1,-55,-6,0.8816666666666667,0.63,1.0,0.82
1,2,5,0,8,-2,1,5,8,0.7066666666666667,0.3666666666666667,0.0,0.84
4,0,-4,2,9,-4,1,-5,14,0.6383333333333333,0.5716666666666667,1.0,0.83
3,10,0,0,7,11,1,0,27,0.8333333333333334,0.525,0.0,1.0
4,0,-15,4,8,-1,1,-10,15,0.3333333333333333,0.5942427659108079,1.0,0.0
